"lokasi.formasi","nama.prodi","no.ujian","hasil.akhir"
"BPS Pusat","D-IV Komputasi Statistik","1308884","LULUS"
"BPS Pusat","D-IV Komputasi Statistik","1600650","LULUS"
"BPS Pusat","D-IV Komputasi Statistik","1801787","LULUS"
"BPS Pusat","D-IV Komputasi Statistik","3100585","LULUS"
"BPS Pusat","D-IV Komputasi Statistik","3108143","LULUS"
"BPS Pusat","D-IV Komputasi Statistik","3305502","LULUS"
"BPS Pusat","D-IV Komputasi Statistik","3305854","LULUS"
"BPS Pusat","D-IV Komputasi Statistik","3503595","LULUS"
"BPS Pusat","D-IV Komputasi Statistik","3603529","LULUS"
"BPS Pusat","D-IV Komputasi Statistik","5101522","LULUS"
"BPS Pusat","D-IV Statistika","1306543","LULUS"
"BPS Pusat","D-IV Statistika","3101388","LULUS"
"BPS Pusat","D-IV Statistika","3201448","LULUS"
"BPS Pusat","D-IV Statistika","3203138","LULUS"
"BPS Pusat","D-IV Statistika","3301966","LULUS"
"BPS Pusat","D-IV Statistika","3303193","LULUS"
"BPS Pusat","D-IV Statistika","3304053","LULUS"
"BPS Pusat","D-IV Statistika","3308976","LULUS"
"BPS Pusat","D-IV Statistika","3403435","LULUS"
"BPS Pusat","D-IV Statistika","5100701","LULUS"
"Provinsi Aceh","D-III Statistika","1101371","LULUS"
"Provinsi Aceh","D-III Statistika","1102019","LULUS"
"Provinsi Aceh","D-III Statistika","1211063","LULUS"
"Provinsi Aceh","D-III Statistika","3311693","LULUS"
"Provinsi Aceh","D-IV Komputasi Statistik","1100464","LULUS"
"Provinsi Aceh","D-IV Komputasi Statistik","1101674","LULUS"
"Provinsi Aceh","D-IV Komputasi Statistik","1103429","LULUS"
"Provinsi Aceh","D-IV Komputasi Statistik","1205253","LULUS"
"Provinsi Aceh","D-IV Komputasi Statistik","1209327","LULUS"
"Provinsi Aceh","D-IV Komputasi Statistik","1210154","LULUS"
"Provinsi Aceh","D-IV Komputasi Statistik","1219939","LULUS"
"Provinsi Aceh","D-IV Komputasi Statistik","1223323","LULUS"
"Provinsi Aceh","D-IV Komputasi Statistik","1300800","LULUS"
"Provinsi Aceh","D-IV Komputasi Statistik","1304101","LULUS"
"Provinsi Aceh","D-IV Komputasi Statistik","1305733","LULUS"
"Provinsi Aceh","D-IV Komputasi Statistik","3309977","LULUS"
"Provinsi Aceh","D-IV Komputasi Statistik","3318821","LULUS"
"Provinsi Aceh","D-IV Statistika","1102439","LULUS"
"Provinsi Aceh","D-IV Statistika","1102794","LULUS"
"Provinsi Aceh","D-IV Statistika","1102923","LULUS"
"Provinsi Aceh","D-IV Statistika","1103166","LULUS"
"Provinsi Aceh","D-IV Statistika","1213951","LULUS"
"Provinsi Aceh","D-IV Statistika","3217962","LULUS"
"Provinsi Aceh","D-IV Statistika","3516212","LULUS"
