"no.ujian","skd.twk","skd.tiu","skd.tkp","skd.total","mtk.nilai","psi.ket","kes.ket","peringkat.cadangan"
"3601525","105","150","185","440","89","DISARANKAN","DISARANKAN","1"
"3311617","125","155","189","469","75","DISARANKAN","DISARANKAN","2"
"2101372","115","155","194","464","74","DISARANKAN","DISARANKAN","3"
"1406104","95","135","204","434","74","DISARANKAN","DISARANKAN","4"
"3511541","90","155","178","423","72","DISARANKAN","DISARANKAN","5"
"3507119","90","155","198","443","71","DISARANKAN","DISARANKAN","6"
"1601486","80","170","190","440","69","DISARANKAN","DISARANKAN","7"
"3320541","75","155","194","424","68","DISARANKAN","DISARANKAN","8"
"3515275","100","135","186","421","68","DISARANKAN","DISARANKAN","9"
"3319321","95","140","191","426","151","DIPERTIMBANGKAN","DISARANKAN","10"
"5202605","110","155","179","444","125","DIPERTIMBANGKAN","DISARANKAN","11"
"3402087","100","155","186","441","96","DIPERTIMBANGKAN","DISARANKAN","12"
"1307520","90","140","186","416","94","DIPERTIMBANGKAN","DISARANKAN","13"
"3316975","105","160","193","458","73","DIPERTIMBANGKAN","DISARANKAN","14"
"3305250","100","155","198","453","72","DIPERTIMBANGKAN","DISARANKAN","15"
"7400285","100","150","178","428","165","DISARANKAN","DIPERTIMBANGKAN","16"
"5203842","95","170","195","460","161","DISARANKAN","DIPERTIMBANGKAN","17"
"1212697","80","160","190","430","150","DISARANKAN","DIPERTIMBANGKAN","18"
"3102240","105","150","203","458","149","DISARANKAN","DIPERTIMBANGKAN","19"
"7401426","115","155","189","459","144","DISARANKAN","DIPERTIMBANGKAN","20"
"6200255","125","120","193","438","138","DISARANKAN","DIPERTIMBANGKAN","21"
"3214606","100","160","190","450","137","DISARANKAN","DIPERTIMBANGKAN","22"
"1213661","110","150","184","444","137","DISARANKAN","DIPERTIMBANGKAN","23"
"1200980","95","160","177","432","137","DISARANKAN","DIPERTIMBANGKAN","24"
"3509744","105","145","183","433","136","DISARANKAN","DIPERTIMBANGKAN","25"
"3326527","100","150","194","444","134","DISARANKAN","DIPERTIMBANGKAN","26"
"5201208","105","150","186","441","127","DISARANKAN","DIPERTIMBANGKAN","27"
"3306343","115","155","181","451","124","DISARANKAN","DIPERTIMBANGKAN","28"
"7305023","110","145","176","431","123","DISARANKAN","DIPERTIMBANGKAN","29"
"3508846","115","170","189","474","120","DISARANKAN","DIPERTIMBANGKAN","30"
"3501614","100","165","200","465","120","DISARANKAN","DIPERTIMBANGKAN","31"
"1101461","95","155","182","432","120","DISARANKAN","DIPERTIMBANGKAN","32"
"3602805","115","125","185","425","120","DISARANKAN","DIPERTIMBANGKAN","33"
"1400304","90","165","197","452","117","DISARANKAN","DIPERTIMBANGKAN","34"
"1302664","115","150","192","457","116","DISARANKAN","DIPERTIMBANGKAN","35"
"1305454","105","145","181","431","116","DISARANKAN","DIPERTIMBANGKAN","36"
