"nama.prodi","lokasi.formasi","no.ujian","peringkat.cadangan","hasil.akhir"
"D-III Statistika","Provinsi Sumatera Utara","1212697","18","LULUS"
"D-III Statistika","Provinsi Sumatera Utara","1213661","23","LULUS"
"D-III Statistika","Provinsi Sumatera Utara","1200980","24","LULUS"
"D-III Statistika","Provinsi Sumatera Utara","3401022","42","TIDAK LULUS"
"D-III Statistika","Provinsi Sumatera Utara","1217623","56","TIDAK LULUS"
"D-III Statistika","Provinsi Sumatera Utara","1211423","60","TIDAK LULUS"
"D-III Statistika","Provinsi Sumatera Utara","1204524","71","TIDAK LULUS"
"D-III Statistika","Provinsi Jambi","1400591","37","LULUS"
"D-III Statistika","Provinsi Jambi","1701544","51","LULUS"
"D-III Statistika","Provinsi Jambi","1501535","57","TIDAK LULUS"
"D-III Statistika","Provinsi Jambi","1302204","70","TIDAK LULUS"
"D-III Statistika","Provinsi Jambi","1204896","92","TIDAK LULUS"
"D-III Statistika","Provinsi Jambi","1503652","129","TIDAK LULUS"
"D-III Statistika","Provinsi Jambi","1403233","145","TIDAK LULUS"
"D-III Statistika","Provinsi Lampung","3514405","82","LULUS"
"D-III Statistika","Provinsi Lampung","1302158","87","TIDAK LULUS"
"D-III Statistika","Provinsi Lampung","1302930","135","TIDAK LULUS"
"D-III Statistika","Provinsi Lampung","1402384","140","TIDAK LULUS"
"D-III Statistika","Provinsi Kepualauan Riau","2101701","41","LULUS"
"D-III Statistika","Provinsi Kepualauan Riau","1802391","88","TIDAK LULUS"
"D-III Statistika","Provinsi Kepualauan Riau","1601015","144","TIDAK LULUS"
"D-III Statistika","Provinsi Banten","3511541","5","LULUS"
"D-III Statistika","Provinsi Banten","3501614","31","TIDAK LULUS"
"D-III Statistika","Provinsi Banten","3401233","40","TIDAK LULUS"
"D-III Statistika","Provinsi Banten","3205284","120","TIDAK LULUS"
"D-III Statistika","Provinsi Nusa Tenggara Timur","2102294","113","LULUS"
"D-III Statistika","Provinsi Nusa Tenggara Timur","3400775","131","LULUS"
"D-III Statistika","Provinsi Kalimantan Tengah","6200255","21","LULUS"
"D-III Statistika","Provinsi Kalimantan Tengah","3303179","90","LULUS"
"D-III Statistika","Provinsi Kalimantan Tengah","3200856","138","TIDAK LULUS"
"D-III Statistika","Provinsi Kalimantan Selatan","3500750","64","LULUS"
"D-III Statistika","Provinsi Kalimantan Selatan","6302409","66","LULUS"
"D-III Statistika","Provinsi Kalimantan Selatan","3310238","68","TIDAK LULUS"
"D-III Statistika","Provinsi Kalimantan Selatan","3106835","72","TIDAK LULUS"
"D-III Statistika","Provinsi Sulawesi Selatan","3311705","85","LULUS"
"D-III Statistika","Provinsi Sulawesi Selatan","3400250","95","LULUS"
"D-III Statistika","Provinsi Sulawesi Selatan","7302422","139","TIDAK LULUS"
"D-III Statistika","Provinsi Sulawesi Selatan","3324448","141","TIDAK LULUS"
"D-III Statistika","Provinsi Sulawesi Selatan","3401455","153","TIDAK LULUS"
"D-III Statistika","Provinsi Maluku","3509113","53","LULUS"
"D-III Statistika","Provinsi Maluku","3307139","137","LULUS"
"D-III Statistika","Provinsi Maluku","6400730","151","TIDAK LULUS"
"D-III Statistika","Provinsi Maluku Utara","7400166","67","LULUS"
"D-III Statistika","Provinsi Papua Barat","1209015","69","LULUS"
"D-III Statistika","Provinsi Papua Barat","1500886","117","LULUS"
"D-III Statistika","Provinsi Papua","3504228","100","LULUS"
"D-III Statistika","Provinsi Papua","1220131","111","LULUS"
"D-III Statistika","Provinsi Papua","3600388","112","LULUS"
"D-III Statistika","Provinsi Papua","1603835","118","LULUS"
"D-III Statistika","Provinsi Papua","7200665","133","LULUS"
"D-III Statistika","Provinsi Papua","3320635","142","TIDAK LULUS"
"D-III Statistika","Provinsi Papua","3315703","147","TIDAK LULUS"
"D-III Statistika","Provinsi Papua","1804050","148","TIDAK LULUS"
"D-IV Komputasi
Statistik","Provinsi Sumatera Barat","1406104","4","LULUS"
"D-IV Komputasi
Statistik","Provinsi Sumatera Barat","3602805","33","TIDAK LULUS"
"D-IV Komputasi
Statistik","Provinsi Lampung","3311617","2","LULUS"
"D-IV Komputasi
Statistik","Provinsi Lampung","1101461","32","TIDAK LULUS"
"D-IV Komputasi
Statistik","Provinsi Lampung","1802038","63","TIDAK LULUS"
"D-IV Komputasi
Statistik","Provinsi Lampung","1800883","84","TIDAK LULUS"
"D-IV Komputasi
Statistik","Provinsi Jawa Barat","3601525","1","LULUS"
"D-IV Komputasi
Statistik","Provinsi Jawa Barat","3316975","14","TIDAK LULUS"
"D-IV Komputasi
Statistik","Provinsi Jawa Barat","3508846","30","TIDAK LULUS"
"D-IV Komputasi
Statistik","Provinsi Jawa Barat","1405956","47","TIDAK LULUS"
"D-IV Komputasi
Statistik","Provinsi Jawa Barat","3520608","50","TIDAK LULUS"
"D-IV Komputasi
Statistik","Provinsi Jawa Barat","3201945","105","TIDAK LULUS"
"D-IV Komputasi
Statistik","Provinsi Jawa Barat","3108424","122","TIDAK LULUS"
"D-IV Komputasi
Statistik","Provinsi Kalimantan Barat","3402087","12","LULUS"
"D-IV Komputasi
Statistik","Provinsi Kalimantan Barat","3504480","80","TIDAK LULUS"
"D-IV Komputasi
Statistik","Provinsi Kalimantan Barat","6100302","99","TIDAK LULUS"
"D-IV Komputasi
Statistik","Provinsi Kalimantan Barat","6100357","116","TIDAK LULUS"
"D-IV Komputasi
Statistik","Provinsi Kalimantan Timur","3319321","10","LULUS"
"D-IV Komputasi
Statistik","Provinsi Kalimantan Timur","3303359","52","TIDAK LULUS"
"D-IV Komputasi
Statistik","Provinsi Kalimantan Timur","3516706","61","TIDAK LULUS"
"D-IV Komputasi
Statistik","Provinsi Kalimantan Timur","6300654","74","TIDAK LULUS"
"D-IV Komputasi
Statistik","Provinsi Kalimantan Timur","6400475","106","TIDAK LULUS"
"D-IV Komputasi
Statistik","Provinsi Sulawesi Utara","1601486","7","LULUS"
"D-IV Komputasi
Statistik","Provinsi Sulawesi Utara","3515275","9","LULUS"
"D-IV Komputasi
Statistik","Provinsi Sulawesi Utara","1307520","13","LULUS"
"D-IV Komputasi
Statistik","Provinsi Sulawesi Utara","3214606","22","LULUS"
"D-IV Komputasi
Statistik","Provinsi Sulawesi Utara","5201208","27","TIDAK LULUS"
"D-IV Komputasi
Statistik","Provinsi Sulawesi Utara","3305632","43","TIDAK LULUS"
"D-IV Komputasi
Statistik","Provinsi Sulawesi Utara","3312737","73","TIDAK LULUS"
"D-IV Komputasi
Statistik","Provinsi Sulawesi Utara","5201280","77","TIDAK LULUS"
"D-IV Komputasi
Statistik","Provinsi Sulawesi Utara","3309023","152","TIDAK LULUS"
"D-IV Komputasi
Statistik","Provinsi Sulawesi Utara","7307469","154","TIDAK LULUS"
"D-IV Komputasi
Statistik","Provinsi Sulawesi Utara","7301830","155","TIDAK LULUS"
"D-IV Komputasi
Statistik","Provinsi Sulawesi Tengah","5203842","17","LULUS"
"D-IV Komputasi
Statistik","Provinsi Sulawesi Tengah","1305887","93","TIDAK LULUS"
"D-IV Komputasi
Statistik","Provinsi Sulawesi Tengah","7200788","132","TIDAK LULUS"
"D-IV Komputasi
Statistik","Provinsi Sulawesi Barat","7401426","20","LULUS"
"D-IV Komputasi
Statistik","Provinsi Sulawesi Barat","7305023","29","LULUS"
"D-IV Komputasi
Statistik","Provinsi Sulawesi Barat","7400119","65","TIDAK LULUS"
"D-IV Komputasi
Statistik","Provinsi Sulawesi Barat","7304679","143","TIDAK LULUS"
"D-IV Komputasi
Statistik","Provinsi Sulawesi Barat","1702851","150","TIDAK LULUS"
"D-IV Komputasi
Statistik","Provinsi Papua Barat","3326691","83","LULUS"
"D-IV Komputasi
Statistik","Provinsi Papua Barat","3503391","89","LULUS"
"D-IV Komputasi
Statistik","Provinsi Papua Barat","1803833","130","TIDAK LULUS"
"D-IV Komputasi
Statistik","Provinsi Papua","1305454","36","LULUS"
"D-IV Komputasi
Statistik","Provinsi Papua","1700891","76","LULUS"
"D-IV Komputasi
Statistik","Provinsi Papua","1226090","86","LULUS"
"D-IV Komputasi
Statistik","Provinsi Papua","3305706","91","LULUS"
"D-IV Komputasi
Statistik","Provinsi Papua","9100871","97","LULUS"
"D-IV Komputasi
Statistik","Provinsi Papua","3205796","98","TIDAK LULUS"
"D-IV Komputasi
Statistik","Provinsi Papua","5201730","124","TIDAK LULUS"
"D-IV Komputasi
Statistik","Provinsi Papua","3512115","134","TIDAK LULUS"
"D-IV Statistika","Provinsi Aceh","3305250","15","LULUS"
"D-IV Statistika","Provinsi Aceh","1216529","103","LULUS"
"D-IV Statistika","Provinsi Aceh","3505490","107","TIDAK LULUS"
"D-IV Statistika","Provinsi Aceh","1800573","127","TIDAK LULUS"
"D-IV Statistika","Provinsi Aceh","1301890","146","TIDAK LULUS"
